Sigla Empresa;Fecha;Origen;Destino;Tipo de Equipo;Número de Vuelos;Horas Bloque;Sillas;Carga Ofrecida Kg;Pasajeros A Bordo;Distancia;Trafico;Tipo de Vuelo;Nombre Empresa;Ciudad Origen;Ciudad Destino;Pais Origen;Pais Destino;Apto_Origen;Apto_Destino;Grupo de Empresas;OW;Ruta;Millas;Año;Mes
ARE;1/11/2019;ADZ;BOG;A319;14;26,6;2016;229780;1717;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2019;nov
VVC;1/10/2019;BOG;ADZ;A320;82;183,94;15416;0;14075;;Domestic;Regular;FAST COLOMBIA SAS;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;VVC;BOG-ADZ;ADZ-BOG;749;2019;oct
VVC;1/10/2019;ADZ;BOG;A320;82;171,54;15416;0;13797;;Domestic;Regular;FAST COLOMBIA SAS;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;VVC;ADZ-BOG;ADZ-BOG;749;2019;oct
RPB;1/10/2019;BOG;ADZ;B737;19;273,59;2698;108509;2272;;Domestic;Regular;AEROREPUBLICA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;CMP;BOG-ADZ;ADZ-BOG;749;2019;oct
RPB;1/10/2019;ADZ;BOG;B737;19;398,88;2698;108509;2263;;Domestic;Regular;AEROREPUBLICA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;CMP;ADZ-BOG;ADZ-BOG;749;2019;oct
ARE;1/02/2017;ADZ;BOG;A319;68;140,69;9792;1190000;8373;1205,47;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;SAN ANDRES-GUSTAVO ROJAS PINILLA;BOGOTA - ELDORADO;LAN;ADZ-BOG;ADZ-BOG;749;2017;feb
ARE;1/02/2017;ADZ;BOG;A320;28;57,49;4866;546000;4488;1205,47;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;SAN ANDRES-GUSTAVO ROJAS PINILLA;BOGOTA - ELDORADO;LAN;ADZ-BOG;ADZ-BOG;749;2017;feb
ARE;1/02/2017;BOG;ADZ;A319;55;119,2;7920;962500;6441;1205,47;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;BOGOTA - ELDORADO;SAN ANDRES-GUSTAVO ROJAS PINILLA;LAN;BOG-ADZ;ADZ-BOG;749;2017;feb
KRE;1/10/2019;BOG;ADZ;B722;3;6,2;0;72000;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2019;oct
ARE;1/02/2017;BOG;ADZ;A320;41;91,24;7128;799500;5659;1205,47;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;BOGOTA - ELDORADO;SAN ANDRES-GUSTAVO ROJAS PINILLA;LAN;BOG-ADZ;ADZ-BOG;749;2017;feb
